Accuracy,F1Score,FalseNegatives,FalsePositives,Precision,Recall,TrueNegatives,TruePositives,loss,val_Accuracy,val_F1Score,val_FalseNegatives,val_FalsePositives,val_Precision,val_Recall,val_TrueNegatives,val_TruePositives,val_loss,Model Type,Epoch
0.5308537483215332,"tf.Tensor([0.35239202 0.63220674], shape=(2,), dtype=float32)",1162,11,0.65625,0.017751479521393776,1172,21,4.269894123077393,0.40067338943481445,"tf.Tensor([0.5721153 0.       ], shape=(2,), dtype=float32)",297,0,0,0,297,0,0.7503256797790527,Attention_CNN,1
0.6737108826637268,"tf.Tensor([0.56629205 0.7384823 ], shape=(2,), dtype=float32)",1183,0,0,0,1183,0,0.6286753416061401,0.7239057421684265,"tf.Tensor([0.5638297  0.79802954], shape=(2,), dtype=float32)",297,0,0,0,297,0,0.549952507,Attention_CNN,2
0.8393913507461548,"tf.Tensor([0.7921225  0.86914593], shape=(2,), dtype=float32)",1183,0,0,0,1183,0,0.36391836404800415,0.7643097639083862,"tf.Tensor([0.6601941 0.8195875], shape=(2,), dtype=float32)",297,0,0,0,297,0,0.5456221103668213,Attention_CNN,3
0.9467455744743347,"tf.Tensor([0.93333334 0.955665  ], shape=(2,), dtype=float32)",1167,0,1,0.013524936512112617,1183,16,0.16070973873138428,0.7373737096786499,"tf.Tensor([0.56666666 0.8115941 ], shape=(2,), dtype=float32)",291,1,0.8571428656578064,0.020202020183205605,296,6,0.685480535,Attention_CNN,4
0.9890109896659851,"tf.Tensor([0.9862142 0.9908643], shape=(2,), dtype=float32)",1085,0,1,0.082840234,1183,98,0.060410518,0.7138047218322754,"tf.Tensor([0.6443514  0.76056325], shape=(2,), dtype=float32)",282,1,0.9375,0.05050505,296,15,0.6304099559783936,Attention_CNN,5
0.9966187477111816,"tf.Tensor([0.9957716 0.997183 ], shape=(2,), dtype=float32)",879,0,1,0.2569738030433655,1183,304,0.027665129,0.7306397557258606,"tf.Tensor([0.5698924  0.80392146], shape=(2,), dtype=float32)",237,7,0.895522416,0.20202019810676575,290,60,0.8712065815925598,Attention_CNN,6
0.9966187477111816,"tf.Tensor([0.9957716 0.997183 ], shape=(2,), dtype=float32)",812,1,0.9973118305206299,0.3136094808578491,1182,371,0.026178479194641113,0.7272727489471436,"tf.Tensor([0.6553191  0.77437323], shape=(2,), dtype=float32)",252,3,0.9375,0.1515151560306549,294,45,0.751630425,Attention_CNN,7
0.9966187477111816,"tf.Tensor([0.9957716 0.997183 ], shape=(2,), dtype=float32)",670,0,1,0.43364328145980835,1183,513,0.017073395,0.7340067625045776,"tf.Tensor([0.6519823 0.7847411], shape=(2,), dtype=float32)",235,7,0.8985507488250732,0.20875421166419983,290,62,0.7947806119918823,Attention_CNN,8
0.9974640607833862,"tf.Tensor([0.9968253  0.99788874], shape=(2,), dtype=float32)",577,0,1,0.5122569799423218,1183,606,0.010160672478377819,0.7373737096786499,"tf.Tensor([0.66086954 0.78571427], shape=(2,), dtype=float32)",227,7,0.9090909361839294,0.23569023609161377,290,70,0.8277374505996704,Attention_CNN,9
0.9974640607833862,"tf.Tensor([0.9968253  0.99788874], shape=(2,), dtype=float32)",542,0,1,0.5418427586555481,1183,641,0.013722970150411129,0.7407407164573669,"tf.Tensor([0.6637554 0.789041 ], shape=(2,), dtype=float32)",216,8,0.9101123809814453,0.27272728085517883,289,81,0.8456646203994751,Attention_CNN,10
0.9966187477111816,"tf.Tensor([0.9957806 0.9971791], shape=(2,), dtype=float32)",469,0,1,0.6035503149032593,1183,714,0.016242222860455513,0.744107723,"tf.Tensor([0.59999996 0.8118812 ], shape=(2,), dtype=float32)",174,18,0.8723404407501221,0.4141414165496826,279,123,1.0888313055038452,Attention_CNN,11
0.9974640607833862,"tf.Tensor([0.9968253  0.99788874], shape=(2,), dtype=float32)",246,1,0.9989339113235474,0.7920541167259216,1182,937,0.008549123,0.7508417367935181,"tf.Tensor([0.6636363  0.80213904], shape=(2,), dtype=float32)",189,14,0.8852459192276001,0.3636363744735718,283,108,0.9009039998054504,Attention_CNN,12
0.9974640607833862,"tf.Tensor([0.9968321 0.9978858], shape=(2,), dtype=float32)",202,0,1,0.8292476534843445,1183,981,0.010673117823898792,0.7306397557258606,"tf.Tensor([0.5505617  0.80769235], shape=(2,), dtype=float32)",159,35,0.7976878881454468,0.46464645862579346,262,138,1.278800129890442,Attention_CNN,13
0.9966187477111816,"tf.Tensor([0.99576265 0.99718696], shape=(2,), dtype=float32)",215,0,1,0.8182586431503296,1183,968,0.007701198,0.7542087435722351,"tf.Tensor([0.6507177 0.8103895], shape=(2,), dtype=float32)",174,16,0.8848921060562134,0.4141414165496826,281,123,0.9755643606185913,Attention_CNN,14
0.9974640607833862,"tf.Tensor([0.9968321 0.9978858], shape=(2,), dtype=float32)",175,0,1,0.8520709872245789,1183,1008,0.005101567,0.7542087435722351,"tf.Tensor([0.62564105 0.8170425 ], shape=(2,), dtype=float32)",159,25,0.8466257452964783,0.46464645862579346,272,138,1.1799743175506592,Attention_CNN,15
0.9966187477111816,"tf.Tensor([0.9957716 0.997183 ], shape=(2,), dtype=float32)",94,1,0.9990825653076172,0.920540988,1182,1089,0.011719400994479656,0.7340067625045776,"tf.Tensor([0.6550218  0.78356165], shape=(2,), dtype=float32)",172,16,0.8865247964859009,0.4208754301071167,281,125,0.9187806844711304,Attention_CNN,16
0.9966187477111816,"tf.Tensor([0.9957716 0.997183 ], shape=(2,), dtype=float32)",187,0,1,0.8419272899627686,1183,996,0.006743013,0.7340067625045776,"tf.Tensor([0.66945606 0.77746475], shape=(2,), dtype=float32)",192,11,0.9051724076271057,0.35353535413742065,286,105,0.9216383695602417,Attention_CNN,17
0.9983093738555908,"tf.Tensor([0.99788576 0.9985915 ], shape=(2,), dtype=float32)",210,0,1,0.8224852085113525,1183,973,0.005912163,0.7138047218322754,"tf.Tensor([0.6666666  0.74926245], shape=(2,), dtype=float32)",186,12,0.9024389982223511,0.3737373650074005,285,111,1.0442792177200317,Attention_CNN,18
0.9991546869277954,"tf.Tensor([0.998944   0.99929523], shape=(2,), dtype=float32)",139,0,1,0.8825021386146545,1183,1044,0.002730543,0.74747473,"tf.Tensor([0.6153846  0.81202996], shape=(2,), dtype=float32)",162,19,0.8766233921051025,0.4545454680919647,278,135,1.2564715147018433,Attention_CNN,19
0.9983093738555908,"tf.Tensor([0.99788576 0.9985915 ], shape=(2,), dtype=float32)",192,0,1,0.8377007842063904,1183,991,0.003697593,0.7340067625045776,"tf.Tensor([0.63926935 0.7893333 ], shape=(2,), dtype=float32)",180,14,0.8931297659873962,0.39393940567970276,283,117,1.1134653091430664,Attention_CNN,20
